year,avg_temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,8.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,7.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,5.78,,,,,,,1750,,,,,,,,,,1760,,,,,,,,,,1770,,,,,,,,,,1780,,,,,,,,,,1790,,,,,,,,,,1800,,,,,,,,,,1810,,,,,,,,,,1820,,,,,,,,,,1830,,,,,,,,,,1840,,,,,,,,,,1850,,,,,,,,,,1860,,,,,,,,,,1870,,,,,,,,,,1880,,,,,,,,,,1890,,,,,,,,,,1900,,,,,,,,,,1910,,,,,,,,,,1920,,,,,,,,,,1930,,,,,,,,,,1940,,,,,,,,,,1950,,,,,,,,,,1960,,,,,,,,,,1970,,,,,,,,,,1980,,,,,,,,,,1990,,,,,,,,,,2000,,,,,,,,,,2010,,,,,
1753,8.39,,,,,,Avg_temp_Global,8.72,7.98,5.78,8.39,8.47,8.36,8.85,9.02,6.74,7.99,7.19,8.77,8.61,7.5,8.4,8.25,8.41,8.22,6.78,7.69,7.69,7.85,8.19,8.22,8.77,9.18,8.3,8.26,8.54,8.98,9.43,8.1,7.9,7.68,7.86,7.36,8.26,8.03,8.45,8.33,7.98,8.23,8.09,8.23,8.53,8.35,8.27,8.51,8.67,8.51,8.48,8.59,8.58,8.5,8.84,8.56,8.43,8.28,7.63,7.08,6.92,6.86,7.05,7.74,7.59,7.24,6.94,6.98,7.83,7.37,7.62,8.09,8.19,7.72,8.55,8.39,8.36,8.81,8.17,7.94,8.52,7.64,7.45,8.01,8.15,7.39,7.7,7.38,7.51,7.63,7.8,7.69,8.02,8.17,7.65,7.85,8.55,8.09,7.98,7.98,7.9,8.18,8.1,8.04,8.21,8.11,8,7.76,8.1,8.25,7.96,7.85,7.56,8.11,7.98,8.18,8.29,8.44,8.25,8.43,8.2,8.12,8.19,8.35,8.43,7.86,8.08,8.54,8.83,8.17,8.12,8.27,8.13,7.98,7.77,7.92,7.95,7.91,8.09,8.32,7.97,8.02,8.07,8.06,8.16,8.15,8.21,8.29,8.18,8.4,8.5,8.54,8.3,8.22,8.09,8.23,8.38,7.95,8.19,8.18,8.22,8.18,8.17,8.3,8.59,8.59,8.23,8.02,8.13,8.38,8.36,8.57,8.41,8.42,8.51,8.53,8.73,8.52,8.63,8.24,8.63,8.72,8.71,8.34,8.63,8.52,8.55,8.7,8.86,8.76,8.76,8.77,8.73,8.76,8.85,8.58,8.68,8.8,8.75,8.59,8.37,8.63,8.64,8.87,8.56,8.63,8.28,8.73,8.77,8.73,8.58,8.8,8.75,8.86,8.41,8.53,8.6,8.7,8.52,8.6,8.7,8.6,8.5,8.95,8.47,8.74,8.35,8.85,8.69,8.73,8.98,9.17,8.64,9.03,8.69,8.66,8.83,8.99,9.2,8.92,9.23,9.18,8.84,8.87,9.04,9.35,9.04,9.2,9.52,9.29,9.2,9.41,9.57,9.53,9.32,9.7,9.53,9.73,9.43,9.51,9.7,9.52,9.51,9.61,9.57,9.83
1754,8.47,,,,,,Avg_temp_Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.56,16.57,16.88,16.22,16.64,17.07,16.6,16.25,16.08,16.51,16.6,16.39,16.1,16.48,16.9,16.76,16.69,17.04,16.26,16.33,16.72,16.9,16.53,16.37,16.75,16.96,17.38,16.96,16.91,16.84,16.75,16.71,16.78,16.75,16.95,17.3,17.04,17.24,16.31,16.65,16.63,17.03,16.46,16.86,16.95,16.88,16.66,16.72,17.17,16.77,16.74,16.6,16.67,16.83,16.85,16.85,17.08,17.04,17.06,16.98,16.86,16.98,16.87,16.58,16.57,16.92,16.87,16.67,16.47,16.93,16.85,17.1,17.23,17.87,17.31,16.97,16.55,16.56,17.51,16.65,17.15,17.22,17.2,16.65,16.55,17.25,16.42,17.4,16.69,17.1,16.86,16.97,16.76,16.89,16.55,16.79,16.97,17.39,17.33,17.64,16.86,17.3,16.31,16.99,16.89,17.04,16.94,16.42,16.55,17.14,16.73,16.83,16.73,16.93,16.99,16.64,17.06,17.41,17.23,16.68,16.86,16.74,16.93,16.96,17,16.64,16.85,17.27,17.18,16.78,16.84,17.03,17.81,16.98,17.34,17.01,17.34,17.16,17.56,18,17.49,17.3,17.47,16.91,17.09,17.06,17.37,17.89,17.26,17.47,17.85,16.89,17.42,17.36,16.95,17.05,17.51,18.05,17.55,17.57,17.85,17.73,17.59,17.87,18.03,17.75,18.02,17.32,18.18,18,17.71,17.47,18.09,,
1755,8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,9.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,6.74,,,,,,,1760,,,,,,,,,,1770,,,,,,,,,,1780,,,,,,,,,,1790,,,,,,,,,,1800,,,,,,,,,,1810,,,,,,,,,,1820,,,,,,,,,,1830,,,,,,,,,,1840,,,,,,,,,,1850,,,,,,,,,,1860,,,,,,,,,,1870,,,,,,,,,,1880,,,,,,,,,,1890,,,,,,,,,,1900,,,,,,,,,,1910,,,,,,,,,,1920,,,,,,,,,,1930,,,,,,,,,,1940,,,,,,,,,,1950,,,,,,,,,,1960,,,,,,,,,,1970,,,,,,,,,,1980,,,,,,,,,,1990,,,,,,,,,,2000,,,,,,,,,,2010,,,,,,,,,,,,,,,
1759,7.99,8.03,,,,,Global,7.877,7.956,8.239,8.15,8.143,8.132,8.088,8.008,8.012,7.982,8.032,7.94,7.898,7.97,8.007,8.1,8.089,8.093,8.269,8.398,8.572,8.597,8.568,8.514,8.423,8.241,8.237,8.214,8.205,8.14,7.995,8.008,8.027,8.082,8.149,8.248,8.249,8.297,8.319,8.337,8.387,8.423,8.472,8.499,8.53,8.551,8.567,8.544,8.44,8.297,8.141,7.968,7.815,7.739,7.614,7.482,7.333,7.203,7.223,7.252,7.322,7.445,7.559,7.557,7.653,7.768,7.91,8.093,8.127,8.184,8.274,8.229,8.155,8.184,8.144,8.044,7.978,7.835,7.769,7.738,7.666,7.671,7.728,7.744,7.694,7.74,7.825,7.896,7.943,7.978,7.988,8.037,8.045,8.032,8.088,8.114,8.059,8.026,8.038,8.065,8.071,8.038,7.984,7.991,7.968,7.975,8.004,8.072,8.087,8.105,8.129,8.156,8.219,8.243,8.288,8.256,8.235,8.245,8.303,8.277,8.269,8.284,8.278,8.241,8.175,8.181,8.168,8.105,8.031,8.046,8.031,8.006,8,8.008,8.047,8.07,8.096,8.134,8.143,8.151,8.204,8.256,8.279,8.295,8.288,8.296,8.313,8.279,8.28,8.258,8.23,8.194,8.181,8.189,8.239,8.275,8.26,8.267,8.261,8.281,8.295,8.334,8.358,8.37,8.362,8.356,8.406,8.456,8.506,8.492,8.519,8.534,8.564,8.556,8.568,8.567,8.549,8.567,8.59,8.642,8.655,8.66,8.662,8.704,8.726,8.732,8.745,8.755,8.744,8.727,8.688,8.674,8.665,8.676,8.647,8.652,8.612,8.605,8.607,8.621,8.642,8.659,8.67,8.669,8.654,8.644,8.676,8.673,8.648,8.635,8.647,8.627,8.602,8.611,8.617,8.638,8.613,8.628,8.645,8.658,8.686,8.743,8.757,8.765,8.787,8.779,8.827,8.841,8.892,8.911,8.936,8.937,8.957,8.941,8.976,9.045,9.066,9.087,9.119,9.156,9.153,9.176,9.249,9.315,9.343,9.378,9.427,9.48,9.471,9.493,9.543,9.554,9.548,9.556,9.581,9.594,,,,,,,,,,
1760,7.19,7.877,,,,,Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.538,16.542,16.524,16.446,16.472,16.498,16.467,16.476,16.555,16.573,16.555,16.567,16.618,16.661,16.65,16.635,16.655,16.724,16.716,16.781,16.832,16.835,16.816,16.841,16.879,16.899,16.933,16.899,16.927,16.867,16.848,16.836,16.868,16.836,16.847,16.847,16.805,16.767,16.715,16.801,16.813,16.824,16.781,16.802,16.799,16.789,16.786,16.828,16.86,16.849,16.87,16.882,16.92,16.94,16.915,16.887,16.894,16.873,16.836,16.777,16.772,16.771,16.783,16.819,16.948,17.022,17.027,16.995,16.984,17.088,17.06,17.09,17.102,17.099,16.977,16.901,16.929,16.916,17,16.918,16.963,16.934,16.909,16.865,16.889,16.889,16.843,16.898,16.897,16.961,17.015,17.015,17.048,17.003,17.013,17.047,17.072,17.069,16.972,16.894,16.844,16.831,16.784,16.826,16.82,16.83,16.79,16.802,16.901,16.969,16.923,16.936,16.927,16.947,16.95,16.951,16.951,16.93,16.916,16.911,16.921,16.919,16.948,17.036,17.038,17.072,17.109,17.158,17.147,17.185,17.307,17.372,17.399,17.365,17.358,17.333,17.338,17.341,17.414,17.384,17.331,17.367,17.326,17.321,17.366,17.352,17.351,17.365,17.381,17.41,17.42,17.42,17.504,17.521,17.572,17.68,17.75,17.801,17.728,17.791,17.834,17.82,17.794,17.844,,,,,,,,,,,,
1761,8.77,7.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,8.61,8.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
